,Open,High,Low,Close,Date,Fib Level 0,Fib Level 1,Fib Level 2,Fib Level 3,Fib Level 4,Fib Level 5,Fib Level 6,8_upperBand,8_lowerBand,16_upperBand,16_lowerBand,20_upperBand,20_lowerBand,50_upperBand,50_lowerBand,100_upperBand,100_lowerBand,250_upperBand,250_lowerBand,12_26_macd,signal,5_10_macd,8_rolling_mean,8_rolling_median,12_rolling_mean,12_rolling_median,24_rolling_mean,24_rolling_median,240_rolling_mean,240_rolling_median,720_rolling_mean,720_rolling_median,Open_ratio,High_ratio,Low_ratio,Close_ratio,Fib Level 0_ratio,Fib Level 1_ratio,Fib Level 2_ratio,Fib Level 3_ratio,Fib Level 4_ratio,Fib Level 5_ratio,Fib Level 6_ratio,8_upperBand_ratio,8_lowerBand_ratio,16_upperBand_ratio,16_lowerBand_ratio,20_upperBand_ratio,20_lowerBand_ratio,50_upperBand_ratio,50_lowerBand_ratio,100_upperBand_ratio,100_lowerBand_ratio,250_upperBand_ratio,250_lowerBand_ratio,12_26_macd_ratio,signal_ratio,5_10_macd_ratio,8_rolling_mean_ratio,8_rolling_median_ratio,12_rolling_mean_ratio,12_rolling_median_ratio,24_rolling_mean_ratio,24_rolling_median_ratio,240_rolling_mean_ratio,240_rolling_median_ratio,720_rolling_mean_ratio,720_rolling_median_ratio,will_be_increased
719,140.10000610351562,140.1999969482422,140.10000610351562,140.1999969482422,2023-03-10 14:56:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.1999969482422,140.1999969482422,140.40625890409675,140.1187388070849,140.43355248921458,140.12644506937917,140.43582984979557,139.96817100469664,140.39677776794485,139.82922259826609,140.43908578027288,139.60491458593805,-0.0036960446124112423,-0.01550226285180045,-0.017709368417712312,140.1999969482422,140.1999969482422,140.23333231608072,140.1999969482422,140.2749989827474,140.3000030517578,140.0208335240682,140.0,141.05666648017035,141.39999389648438,0.071,0.0,0.071,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.0,0.0,0.147,0.058,0.166,0.052,0.168,0.166,0.14,0.265,0.17,0.426,-3793344.175,-904484.078,-791771.355,0.0,0.0,0.024,0.0,0.053,0.071,0.128,0.143,0.607,0.849,0.0
722,140.10000610351562,140.10000610351562,140.0,140.10000610351562,2023-03-10 14:59:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.26600073876293,140.05900002417653,140.38558032350372,140.05191967649628,140.43389856803896,140.0561008216095,140.42498931465698,139.99101227225705,140.39677776794485,139.82922259826609,140.43819179581615,139.60500864363698,-0.026900509071651868,-0.024648867970485756,-0.03591870615963444,140.16250038146973,140.1999969482422,140.18333307902017,140.1999969482422,140.25416628519693,140.25,140.02416699727377,140.0,141.04694430033365,141.39999389648438,0.0,0.0,0.071,0.0,10.751,7.385,5.404,3.855,2.351,0.283,2.233,0.118,0.029,0.203,0.034,0.238,0.031,0.231,0.078,0.211,0.194,0.241,0.355,-520908.01,-568483.125,-390147.474,0.045,0.071,0.059,0.071,0.11,0.107,0.054,0.071,0.671,0.919,1.0
729,140.1999969482422,140.1999969482422,140.10000610351562,140.1999969482422,2023-03-10 15:06:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.25820229701435,140.11679388828838,140.26186386112138,140.10063346859053,140.29707975146675,140.09291811230275,140.39625928563248,140.02374132471908,140.39535008671547,139.8306499743197,140.4462177397221,139.60738260207478,-0.0094837707778197,-0.004948723514258797,0.0040981114149190034,140.18749809265137,140.1999969482422,140.17499923706055,140.1999969482422,140.2166659037272,140.1999969482422,140.04000027974448,140.10000610351562,141.02083314259846,141.39999389648438,0.0,0.0,0.071,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.041,0.059,0.044,0.071,0.069,0.076,0.14,0.126,0.139,0.264,0.175,0.424,-1478414.905,-2833153.747,3420987.978,0.009,0.0,0.018,0.0,0.012,0.0,0.114,0.071,0.582,0.849,1.0
730,140.1999969482422,140.3000030517578,140.10000610351562,140.3000030517578,2023-03-10 15:07:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.28321270513783,140.14178271722545,140.28749446887514,140.08750362377623,140.29707975146675,140.09291811230275,140.39996099592614,140.02403985856606,140.3998008176796,139.83019918232043,140.4489255195512,139.60787489548784,-0.00023967087344090032,-0.00013535360356363175,0.01911812603921703,140.21249771118164,140.1999969482422,140.18333307902017,140.1999969482422,140.2166659037272,140.1999969482422,140.0416669845581,140.10000610351562,141.017222044203,141.39999389648438,0.071,0.0,0.143,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.012,0.113,0.009,0.152,0.002,0.148,0.071,0.197,0.071,0.336,0.106,0.496,-58538712.155,-103654527.631,733758.553,0.062,0.071,0.083,0.071,0.059,0.071,0.184,0.143,0.509,0.778,0.0
734,140.1999969482422,140.3000030517578,140.1999969482422,140.1999969482422,2023-03-10 15:11:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.28321270513783,140.14178271722545,140.28749446887514,140.08750362377623,140.27943710793744,140.10056014548053,140.39556646439672,140.02843377974392,140.40568695625976,139.836312555459,140.44641252761556,139.62798786300942,-0.0022677209213100014,0.002447483046692203,0.0008892171930199311,140.21249771118164,140.1999969482422,140.2083307902018,140.1999969482422,140.195831934611,140.1999969482422,140.04750029246011,140.10000610351562,141.00319425794814,141.3000030517578,0.0,0.071,0.0,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.059,0.042,0.062,0.08,0.057,0.071,0.139,0.123,0.146,0.26,0.175,0.41,-6182518.464,5728233.732,15766576.359,0.009,0.0,0.006,0.0,0.003,0.0,0.109,0.071,0.57,0.778,1.0
735,140.3000030517578,140.3000030517578,140.1999969482422,140.3000030517578,2023-03-10 15:12:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.317586134856,140.1324108133862,140.30849255468365,140.07900630090717,140.29707975146675,140.09291811230275,140.39920477310335,140.02879571517792,140.40837823014792,139.8416214646763,140.44864413168048,139.62975625894452,0.005493390034104095,0.004950580969493254,0.01496297266069746,140.2249984741211,140.1999969482422,140.21666463216147,140.1999969482422,140.195831934611,140.1999969482422,140.04958362579345,140.10000610351562,141.00013870663113,141.3000030517578,0.0,0.0,0.071,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.013,0.12,0.006,0.158,0.002,0.148,0.071,0.194,0.077,0.328,0.106,0.48,2553878.548,2833910.875,937547.928,0.053,0.071,0.059,0.071,0.074,0.071,0.179,0.143,0.497,0.708,0.0
736,140.1999969482422,140.3000030517578,140.10000610351562,140.10000610351562,2023-03-10 15:13:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.3406737777162,140.08432545934434,140.30849255468365,140.07900630090717,140.30049691905506,140.07950186024183,140.39920477310335,140.02879571517792,140.40829974054589,139.84370007634863,140.44804108932112,139.63355937454605,-0.0044427427242510475,0.0022464951373488322,-0.008569848191228857,140.21249961853027,140.1999969482422,140.20833206176758,140.1999969482422,140.19166564941406,140.1999969482422,140.05041700998942,140.10000610351562,140.99708315531413,141.3000030517578,0.071,0.143,0.0,0.0,10.751,7.385,5.404,3.855,2.351,0.283,2.233,0.171,0.011,0.149,0.015,0.143,0.015,0.213,0.051,0.22,0.183,0.248,0.334,-3153557.555,6236281.454,-1634901.492,0.08,0.071,0.077,0.071,0.065,0.071,0.035,0.0,0.636,0.849,1.0
738,140.39999389648438,140.39999389648438,140.3000030517578,140.3000030517578,2023-03-10 15:15:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.36642266273103,140.08357810020843,140.32753236988836,140.109965722763,140.3297751568756,140.07022484312438,140.40400427660114,140.03999596753948,140.41448999867322,139.8515100623619,140.44803905607048,139.6447614810389,0.010174529026414803,0.006675485389367543,0.01865582621766748,140.22500038146973,140.1999969482422,140.22499974568686,140.1999969482422,140.1999994913737,140.1999969482422,140.05458367665608,140.10000610351562,140.99138872358535,141.3000030517578,0.071,0.071,0.0,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.047,0.154,0.02,0.136,0.021,0.164,0.074,0.186,0.082,0.321,0.105,0.469,1378833.636,2101619.873,751943.9,0.053,0.071,0.053,0.071,0.071,0.071,0.175,0.143,0.49,0.708,1.0
741,140.5,140.5,140.39999389648438,140.5,2023-03-10 15:18:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.6386870439086,140.03631600784922,140.5226564436611,140.02734279339944,140.49319495395312,140.01680413051955,140.45497829957694,140.04102145628244,140.45244591880882,139.841554020156,140.46550192537575,139.6424986849758,0.05899282738127454,0.035639761764880734,0.07261466711108255,140.3375015258789,140.3000030517578,140.3000005086263,140.3000030517578,140.23749987284342,140.1999969482422,140.0633337020874,140.10000610351562,140.98388871086968,141.3000030517578,0.0,0.0,0.071,0.0,11.067,7.692,5.705,4.151,2.643,0.569,1.954,0.099,0.331,0.016,0.338,0.005,0.345,0.032,0.328,0.034,0.471,0.025,0.614,238064.547,394122.613,193387.081,0.116,0.143,0.143,0.143,0.187,0.214,0.312,0.286,0.343,0.566,0.0
742,140.5,140.60000610351562,140.39999389648438,140.39999389648438,2023-03-10 15:19:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.6440734579563,140.08092883086206,140.53916077783623,140.0358380777546,140.50485690473104,140.0351409590385,140.46085973479006,140.04713953278804,140.45747858511118,139.8465213538537,140.4693519531633,139.64264865718826,0.05973352171577062,0.03959209330892899,0.055401419485122005,140.36250114440918,140.3499984741211,140.30833307902017,140.3000030517578,140.24583307902017,140.1999969482422,140.0662503560384,140.10000610351562,140.98124980926514,141.3000030517578,0.071,0.142,0.0,0.0,10.988,7.615,5.629,4.077,2.57,0.498,2.024,0.174,0.228,0.099,0.26,0.075,0.261,0.043,0.252,0.041,0.396,0.049,0.542,234943.891,354516.243,253323.099,0.027,0.036,0.065,0.071,0.11,0.143,0.238,0.214,0.412,0.637,0.0
